State,Brand,total_users,avg_engagement_percentage
andaman-&-nicobar-islands,Xiaomi,148752,0.2406102681861204
andaman-&-nicobar-islands,Vivo,141104,0.20783143884995403
andaman-&-nicobar-islands,Samsung,114622,0.18901853263378143
andaman-&-nicobar-islands,Oppo,54448,0.08599045083803289
andaman-&-nicobar-islands,Others,47353,0.08247183854965602
andaman-&-nicobar-islands,Realme,39953,0.057395764352644194
andaman-&-nicobar-islands,OnePlus,23399,0.04083625194342697
andaman-&-nicobar-islands,Huawei,15964,0.02663594243281028
andaman-&-nicobar-islands,Apple,13741,0.02478802773882361
andaman-&-nicobar-islands,Motorola,12613,0.024315477129729354
andaman-&-nicobar-islands,Tecno,6135,0.017999304831027983
andaman-&-nicobar-islands,Lenovo,5362,0.02098380176660915
andaman-&-nicobar-islands,None,0,0.0
andhra-pradesh,Xiaomi,56579876,0.25217384275268107
andhra-pradesh,Samsung,43755288,0.19776622337453506
andhra-pradesh,Vivo,39277268,0.1648416939903708
andhra-pradesh,Oppo,24437726,0.1050948325325461
andhra-pradesh,Realme,19656788,0.08076982857549891
andhra-pradesh,Others,15573750,0.07378745363915667
andhra-pradesh,Motorola,6387298,0.03102528117597103
andhra-pradesh,Apple,5695393,0.027027335127486903
andhra-pradesh,OnePlus,5307977,0.02576122367206742
andhra-pradesh,Huawei,5276809,0.02423238239305861
andhra-pradesh,Lenovo,3466662,0.017519901013549638
andhra-pradesh,None,0,0.0
arunachal-pradesh,Xiaomi,652564,0.23682281462585225
arunachal-pradesh,Vivo,627568,0.2098458856344223
arunachal-pradesh,Samsung,529978,0.19482516716508305
arunachal-pradesh,Oppo,429122,0.1466938704252243
arunachal-pradesh,Realme,220848,0.07012308498515803
arunachal-pradesh,Others,168388,0.06909133121371269
arunachal-pradesh,Apple,56633,0.021761321298339787
arunachal-pradesh,Gionee,32486,0.014687144142739913
arunachal-pradesh,OnePlus,31989,0.012580868623712483
arunachal-pradesh,Huawei,26130,0.010567248476525912
arunachal-pradesh,Motorola,25045,0.011994889617199078
arunachal-pradesh,Lenovo,2461,0.016085141571238637
arunachal-pradesh,Infinix,2358,0.007031690329313278
arunachal-pradesh,None,0,0.0
assam,Xiaomi,10092046,0.25964411917854757
assam,Vivo,7769042,0.18380847485626445
assam,Samsung,5780515,0.15138825335923364
assam,Oppo,5341557,0.1294569228501881
assam,Others,4032368,0.11249676522086649
assam,Realme,3673309,0.08348473818863139
assam,Huawei,585405,0.016211738344281912
assam,Motorola,503516,0.016588826314546168
assam,Gionee,453190,0.016715376327435177
assam,Asus,444821,0.01587843435506026
assam,Lenovo,287876,0.016600702268381912
assam,Apple,270509,0.014793111709877849
assam,Tecno,102319,0.011734411586076021
assam,OnePlus,97349,0.011172367725521326
assam,Infinix,47589,0.010592778213322163
assam,None,0,0.0
bihar,Xiaomi,47850275,0.28848033792832317
bihar,Samsung,32741887,0.20086999412845163
bihar,Vivo,24592120,0.13856998480418148
bihar,Oppo,20080965,0.11676500956801807
bihar,Realme,16414194,0.08909295104882296
bihar,Others,14021292,0.09258934504845563
bihar,Motorola,2751976,0.018765189191874337
bihar,Huawei,2516907,0.015449147835812149
bihar,Infinix,1971745,0.013841684442013502
bihar,Lenovo,1785204,0.01565421757598718
bihar,Tecno,992995,0.012053652107715607
bihar,Micromax,676482,0.012266257498413324
bihar,Apple,666951,0.010828597885039117
bihar,HMD Global,203177,0.00824419455602765
bihar,None,0,0.0
chandigarh,Xiaomi,1235478,0.23478516760994406
chandigarh,Samsung,1046742,0.19749565860804388
chandigarh,Vivo,895265,0.15684396379134236
chandigarh,Oppo,680083,0.12100016150404425
chandigarh,Apple,432139,0.08200326561927795
chandigarh,Others,419753,0.08623008868273567
chandigarh,Realme,217146,0.03797785652910962
chandigarh,OnePlus,156106,0.03095306346521658
chandigarh,Motorola,113790,0.023988580002504235
chandigarh,Huawei,68946,0.014324869228793042
chandigarh,HMD Global,35214,0.010263057774864137
chandigarh,Lenovo,28906,0.017015204557942018
chandigarh,Micromax,6002,0.01749594509601593
chandigarh,None,0,0.0
chhattisgarh,Xiaomi,12483445,0.23381846354288213
chhattisgarh,Vivo,12092519,0.20649736769059124
chhattisgarh,Samsung,8846681,0.16924801293541403
chhattisgarh,Oppo,6018098,0.10727805074523478
chhattisgarh,Realme,4179627,0.07028830796480179
chhattisgarh,Others,3977503,0.08069354536778786
chhattisgarh,Micromax,3810713,0.07666603935992017
chhattisgarh,Apple,846833,0.01660665447878487
chhattisgarh,OnePlus,799765,0.015849618350758272
chhattisgarh,Motorola,464835,0.012313455529510974
