State,Year,Quarter,total_transaction_count,prev_transaction_count,percentage_growth,Quarter_Label
andaman-&-nicobar-islands,2018,1,6658,,,2018-Q1
andaman-&-nicobar-islands,2018,2,11340,6658,70.32,2018-Q2
andaman-&-nicobar-islands,2018,3,16265,11340,43.43,2018-Q3
andaman-&-nicobar-islands,2018,4,23758,16265,46.07,2018-Q4
andaman-&-nicobar-islands,2019,1,30486,23758,28.32,2019-Q1
andaman-&-nicobar-islands,2019,2,33689,30486,10.51,2019-Q2
andaman-&-nicobar-islands,2019,3,33770,33689,0.24,2019-Q3
andaman-&-nicobar-islands,2019,4,35159,33770,4.11,2019-Q4
andaman-&-nicobar-islands,2020,1,41298,35159,17.46,2020-Q1
andaman-&-nicobar-islands,2020,2,62962,41298,52.46,2020-Q2
andaman-&-nicobar-islands,2020,3,117483,62962,86.59,2020-Q3
andaman-&-nicobar-islands,2020,4,224531,117483,91.12,2020-Q4
andaman-&-nicobar-islands,2021,1,244752,224531,9.01,2021-Q1
andaman-&-nicobar-islands,2021,2,341414,244752,39.49,2021-Q2
andaman-&-nicobar-islands,2021,3,449764,341414,31.74,2021-Q3
andaman-&-nicobar-islands,2021,4,636123,449764,41.43,2021-Q4
andaman-&-nicobar-islands,2022,1,794748,636123,24.94,2022-Q1
andaman-&-nicobar-islands,2022,2,1071217,794748,34.79,2022-Q2
andaman-&-nicobar-islands,2022,3,1584379,1071217,47.90,2022-Q3
andaman-&-nicobar-islands,2022,4,1987535,1584379,25.45,2022-Q4
andaman-&-nicobar-islands,2023,1,2276392,1987535,14.53,2023-Q1
andaman-&-nicobar-islands,2023,2,2707775,2276392,18.95,2023-Q2
andaman-&-nicobar-islands,2023,3,3098376,2707775,14.43,2023-Q3
andaman-&-nicobar-islands,2023,4,3695783,3098376,19.28,2023-Q4
andaman-&-nicobar-islands,2024,1,4184920,3695783,13.24,2024-Q1
andaman-&-nicobar-islands,2024,2,4653224,4184920,11.19,2024-Q2
andaman-&-nicobar-islands,2024,3,5279250,4653224,13.45,2024-Q3
andaman-&-nicobar-islands,2024,4,6063900,5279250,14.86,2024-Q4
andhra-pradesh,2018,1,9039585,,,2018-Q1
andhra-pradesh,2018,2,12353918,9039585,36.66,2018-Q2
andhra-pradesh,2018,3,25626061,12353918,107.43,2018-Q3
andhra-pradesh,2018,4,30759548,25626061,20.03,2018-Q4
andhra-pradesh,2019,1,57264522,30759548,86.17,2019-Q1
andhra-pradesh,2019,2,56409015,57264522,-1.49,2019-Q2
andhra-pradesh,2019,3,76288614,56409015,35.24,2019-Q3
andhra-pradesh,2019,4,107218103,76288614,40.54,2019-Q4
andhra-pradesh,2020,1,127677357,107218103,19.08,2020-Q1
andhra-pradesh,2020,2,144917855,127677357,13.50,2020-Q2
andhra-pradesh,2020,3,204902935,144917855,41.39,2020-Q3
andhra-pradesh,2020,4,286118552,204902935,39.64,2020-Q4
andhra-pradesh,2021,1,289747970,286118552,1.27,2021-Q1
andhra-pradesh,2021,2,352767134,289747970,21.75,2021-Q2
andhra-pradesh,2021,3,432032550,352767134,22.47,2021-Q3
andhra-pradesh,2021,4,522254003,432032550,20.88,2021-Q4
andhra-pradesh,2022,1,582603911,522254003,11.56,2022-Q1
andhra-pradesh,2022,2,671134030,582603911,15.20,2022-Q2
andhra-pradesh,2022,3,642855035,671134030,-4.21,2022-Q3
andhra-pradesh,2022,4,690017077,642855035,7.34,2022-Q4
andhra-pradesh,2023,1,1145532464,690017077,66.02,2023-Q1
andhra-pradesh,2023,2,1305656964,1145532464,13.98,2023-Q2
andhra-pradesh,2023,3,1475164403,1305656964,12.98,2023-Q3
andhra-pradesh,2023,4,1596987426,1475164403,8.26,2023-Q4
andhra-pradesh,2024,1,1755428485,1596987426,9.92,2024-Q1
andhra-pradesh,2024,2,1930122300,1755428485,9.95,2024-Q2
andhra-pradesh,2024,3,2091371362,1930122300,8.35,2024-Q3
andhra-pradesh,2024,4,2296445544,2091371362,9.81,2024-Q4
arunachal-pradesh,2018,1,45497,,,2018-Q1
arunachal-pradesh,2018,2,82157,45497,80.58,2018-Q2
arunachal-pradesh,2018,3,131146,82157,59.63,2018-Q3
arunachal-pradesh,2018,4,176429,131146,34.53,2018-Q4
arunachal-pradesh,2019,1,226506,176429,28.38,2019-Q1
arunachal-pradesh,2019,2,258656,226506,14.19,2019-Q2
arunachal-pradesh,2019,3,370234,258656,43.14,2019-Q3
arunachal-pradesh,2019,4,459475,370234,24.10,2019-Q4
